sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_IIc	Bacteriocin_IId	bt1fas	CaiA	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipM	LipV	LmbU	Lycopene_cycl	MGT	micJ25	mmyO	mvd_mst	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth	Terpene_synth_C	TIGR03603	TIGR03605	TIGR03651	TIGR03678	TIGR03693	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-1	409	4	11762	3	30	0	0	5	0	32	38	2076	150	7	0	121	60	642	2	197	3250	3252	0	64	123	0	130	0	9	8	3	4	0	0	0	38	16	9	0	0	1569	1	0	676	3124	346	880	1911	0	0	148	0	1067	933	715	0	0	2	0	0	0	0	1523	3	0	8	28	0	2	0	0	0	0	0	4	0	20	0	0	0	1	0	0	80
sim_meta-10	330	9	15682	95	38	0	0	20	0	55	63	2174	0	0	0	173	24	791	0	215	2755	2633	0	74	90	92	58	0	97	339	59	30	0	0	0	148	191	21	0	0	1432	10	0	1043	3662	328	334	1986	26	0	189	0	1165	1788	1020	43	1	4	0	0	0	64	1390	85	20	0	24	0	7	0	0	0	0	0	4	0	3	1	61	5	2	1	0	230
sim_meta-100	147	9	11776	24	24	0	0	0	0	43	63	499	0	0	0	158	28	698	4	212	2808	2260	0	28	69	28	26	0	29	117	15	0	0	0	0	156	102	6	0	0	1576	0	0	1159	3298	359	969	1907	8	0	308	0	889	1355	584	14	0	1	0	0	0	30	1914	31	0	0	35	0	0	0	0	0	0	0	0	0	34	0	34	0	0	1	0	170
sim_meta-101	89	0	11449	0	29	0	0	0	0	18	14	1101	0	0	0	127	40	937	0	222	2655	2305	0	12	28	0	23	0	35	57	11	52	0	0	0	149	80	7	0	0	1448	0	0	895	2735	359	492	1610	0	31	188	12	1388	1306	667	0	1	0	0	0	0	0	1548	2	0	5	31	0	46	0	0	0	0	0	0	0	34	0	18	0	1	1	0	70
sim_meta-102	219	8	9951	0	26	0	0	0	0	38	50	995	0	9	0	238	40	961	0	183	2579	2414	0	119	126	0	51	0	24	0	0	8	0	0	0	95	32	5	0	0	1675	0	0	438	2667	312	610	1402	19	39	205	0	809	341	538	0	0	0	0	0	0	0	1490	3	0	5	69	0	0	0	0	0	0	0	0	0	92	0	2	0	5	2	0	97
sim_meta-103	447	55	17551	6	20	0	0	0	0	43	86	2908	52	0	1	216	11	812	4	218	2677	2241	0	76	120	360	165	0	185	1205	233	0	0	0	0	222	853	17	0	0	1457	17	0	1610	3674	371	840	1585	136	5	184	0	2365	3487	1514	139	0	0	0	0	0	241	1443	258	0	0	25	0	14	0	0	0	0	0	0	0	1	7	181	14	0	2	0	404
sim_meta-104	231	6	10428	11	13	0	0	3	0	49	68	851	1	0	0	90	3	873	0	244	3183	2891	0	4	8	20	133	0	20	195	33	31	0	0	0	192	116	11	0	0	1596	3	0	602	3217	385	953	2062	4	18	205	0	959	661	499	33	3	1	0	0	0	78	1517	59	0	5	38	0	0	0	0	2	0	0	0	0	29	1	47	1	0	3	0	96
sim_meta-105	348	0	8066	1	105	0	0	0	0	62	91	272	0	0	0	121	12	979	0	190	3034	3805	0	3	4	0	78	0	49	2	0	0	0	0	0	247	15	22	0	0	1508	0	0	760	2670	315	449	1898	45	0	253	0	642	226	336	0	1	0	0	0	0	1	1446	3	0	5	13	0	0	0	0	0	0	0	0	0	251	2	0	0	6	2	0	9
sim_meta-106	229	5	11922	0	48	0	0	12	0	19	31	1295	0	0	0	224	18	883	0	186	2223	1869	0	157	178	0	56	0	24	0	0	9	0	0	0	86	52	18	0	0	1383	3	0	710	2877	323	798	1713	33	0	122	0	791	159	641	18	0	0	0	0	0	0	1736	2	0	4	34	0	0	0	0	0	0	0	0	0	122	0	0	0	2	0	0	174
sim_meta-107	335	30	13370	0	20	0	0	5	0	27	33	1812	0	0	0	173	37	892	0	237	2991	2333	0	39	97	188	160	0	118	555	99	11	0	0	3	267	466	8	0	0	1463	11	0	1168	3166	359	777	1948	106	0	194	0	1667	1989	957	68	2	2	0	0	0	111	1465	142	0	2	3	0	23	0	0	0	0	0	0	0	19	1	37	7	1	0	14	345
sim_meta-108	146	5	9990	0	37	0	2	0	7	33	39	484	0	0	0	135	40	854	0	231	2896	2717	0	7	17	0	58	0	51	100	12	21	0	0	0	235	47	15	1	0	1635	1	0	703	2953	377	437	1976	34	12	209	0	739	253	378	14	2	5	0	0	0	18	1599	26	0	8	69	0	0	0	0	3	0	0	6	2	146	1	15	0	0	0	11	38
sim_meta-109	139	1	8019	0	14	0	0	0	0	21	21	182	0	0	0	197	16	680	3	216	2452	2379	0	2	6	0	92	0	9	0	0	0	0	0	0	14	30	22	0	0	1075	0	0	379	2588	433	1159	1396	5	14	91	0	527	52	250	0	0	0	0	0	0	0	1511	7	0	17	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7
sim_meta-11	133	1	9755	169	12	0	0	3	0	0	5	1356	111	0	3	188	18	990	0	164	2444	2954	0	80	134	0	50	0	60	22	8	3	0	0	0	71	84	23	0	0	1283	0	0	923	2620	229	966	1289	0	6	191	0	743	1020	654	2	0	0	0	0	0	0	1210	4	40	2	36	0	0	0	0	0	0	0	0	0	0	23	0	0	1	1	0	168
sim_meta-110	276	0	10749	0	27	0	0	0	0	4	11	957	0	5	0	236	32	822	0	181	3051	2774	0	49	112	0	89	0	37	45	4	11	0	0	0	226	108	6	0	0	1351	1	0	582	2725	330	891	1529	8	25	214	0	670	205	499	0	0	1	0	0	0	0	1308	6	0	4	34	0	21	0	0	0	0	0	0	0	72	0	15	3	1	0	0	60
sim_meta-111	139	2	9606	18	23	0	0	0	0	56	98	616	0	0	0	59	20	838	0	209	3165	3215	1	31	44	0	13	0	36	6	4	0	0	0	0	250	50	5	0	0	1541	1	0	716	2973	357	460	1759	20	0	273	0	610	303	393	0	6	2	0	0	0	11	1341	27	2	0	5	0	11	16	2	0	0	0	0	0	203	1	2	0	1	4	0	130
sim_meta-112	57	0	10246	0	27	2	0	0	0	20	30	396	0	0	0	151	32	942	12	255	3037	2373	0	24	15	0	31	8	0	18	5	10	0	0	0	357	24	9	0	0	1541	1	0	602	2320	400	983	1446	0	0	293	0	624	68	310	0	2	0	0	0	7	0	1361	0	0	5	8	0	0	0	0	0	0	0	0	3	59	0	0	0	1	1	0	157
sim_meta-113	316	15	15437	80	33	0	0	0	0	50	56	2095	2	0	0	157	30	733	0	208	2824	2743	1	52	61	117	99	0	114	652	122	0	0	0	0	362	402	0	0	0	1466	6	0	1240	3748	396	545	1840	58	1	239	0	1776	2433	1210	82	3	2	0	0	0	186	1572	183	20	4	60	0	18	0	0	0	0	2	0	0	55	1	166	10	0	0	0	276
sim_meta-114	126	4	9457	2	29	0	0	0	0	38	64	383	0	5	0	209	22	927	0	198	2440	2292	0	85	104	0	7	0	7	0	0	20	0	0	0	72	62	2	0	0	1532	0	0	511	2528	336	441	1362	4	0	204	0	711	355	402	0	1	0	0	0	0	0	1449	4	0	0	48	0	0	0	0	0	0	0	0	0	28	0	4	0	0	0	0	140
sim_meta-115	315	2	9864	1	56	0	0	0	6	15	37	1320	47	3	0	184	14	1036	0	223	2729	2684	0	137	155	0	122	0	1	27	7	11	0	0	0	165	71	18	1	0	1587	1	1	513	3007	300	762	1745	1	8	164	0	948	469	619	3	3	0	0	0	2	7	1596	8	0	1	6	0	0	0	0	4	0	0	0	0	11	0	17	0	0	0	2	138
sim_meta-116	203	4	10216	42	5	0	0	3	0	23	15	931	13	0	0	188	25	986	0	197	2665	2557	0	97	114	49	35	0	65	124	25	23	0	0	0	202	184	10	0	2	1582	5	0	937	2676	325	779	1511	18	5	217	9	1260	1279	693	9	0	2	0	0	0	17	1285	24	8	0	26	0	34	0	0	0	2	0	0	0	28	3	29	0	0	0	0	153
sim_meta-117	182	0	12646	0	39	0	1	0	0	14	13	1053	48	0	0	213	29	778	0	182	2924	2549	0	66	114	21	65	0	42	83	17	10	0	0	0	117	126	10	0	0	1368	6	0	640	3168	370	959	1687	22	8	157	0	914	661	551	10	2	1	0	0	0	9	1256	18	0	5	31	0	4	0	0	0	0	3	2	0	6	0	0	2	4	1	0	186
sim_meta-118	144	0	10894	2	12	0	0	1	0	0	0	84	0	0	0	209	13	954	0	192	2080	1764	0	130	174	0	112	0	0	0	0	23	0	0	0	172	9	14	0	0	1282	0	0	283	2811	323	895	1624	0	25	205	0	682	121	379	0	2	2	0	0	0	0	1471	0	0	0	56	0	1	0	0	0	0	0	0	0	18	0	0	0	1	0	0	170
sim_meta-119	239	3	10203	0	7	0	0	0	0	8	6	914	0	23	0	371	73	908	0	194	1987	1849	1	115	212	0	135	0	0	0	0	16	0	0	0	142	128	21	0	0	1194	1	0	352	2907	313	1273	1707	0	0	134	0	757	172	527	0	0	0	0	0	0	0	1534	6	0	1	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	184
sim_meta-12	96	0	8143	0	60	0	0	0	0	36	47	65	0	0	0	326	18	939	1	239	4129	3247	0	150	244	0	70	0	3	1	0	31	0	0	0	390	1	8	0	0	1381	0	0	422	2216	380	866	1319	0	0	354	0	791	168	505	0	0	0	0	0	0	0	1984	18	0	0	0	0	37	0	0	0	0	0	0	0	77	0	4	0	1	1	0	126
sim_meta-120	157	0	10073	34	47	0	0	0	0	28	29	553	23	0	0	101	8	941	0	207	3064	2903	0	65	63	0	14	0	10	3	4	47	0	0	0	346	107	5	0	0	1422	0	0	547	2585	359	296	1724	0	7	305	0	605	179	442	0	1	1	0	0	7	0	1563	6	4	4	26	0	0	0	0	0	0	0	0	0	78	0	0	0	2	0	0	38
sim_meta-121	198	0	12065	2	17	1	0	0	0	19	19	699	76	0	0	126	19	725	0	176	2324	2429	0	1	1	0	44	0	18	18	5	11	0	0	0	88	91	5	0	0	1462	2	0	1024	3138	243	496	1664	0	0	266	5	985	822	474	0	0	2	0	0	0	0	1089	8	0	1	17	0	20	0	0	1	0	0	0	3	30	12	14	0	0	0	0	139
sim_meta-122	462	18	14624	11	10	0	0	2	0	38	68	2367	0	0	0	127	18	995	0	237	3283	2919	0	44	44	96	46	0	144	342	61	35	0	0	0	254	378	12	0	0	1671	9	0	943	3006	305	465	1502	142	2	233	0	1537	1773	986	32	1	5	0	0	0	24	1228	47	0	1	4	0	54	0	0	0	0	2	0	0	15	0	0	3	0	0	0	141
sim_meta-123	94	4	9520	0	44	0	0	0	0	19	28	513	0	0	0	92	18	771	0	210	2992	2756	0	35	60	27	39	0	14	13	5	17	0	0	2	120	37	5	0	0	1397	0	0	616	2255	357	628	1473	13	70	149	0	582	149	420	15	10	1	0	0	0	21	1680	72	0	0	142	0	0	0	0	0	0	0	0	0	22	0	0	4	1	1	14	43
sim_meta-124	197	0	13503	1	62	0	0	43	0	32	48	1174	22	0	0	173	25	990	0	236	2577	2234	0	73	89	36	121	0	39	0	0	0	0	0	0	151	132	9	0	5	1495	2	0	908	3186	394	728	1846	7	40	186	0	817	188	507	0	1	1	0	0	0	0	996	0	0	5	11	0	0	0	0	0	0	0	0	0	51	6	0	0	1	0	0	146
sim_meta-125	468	6	12854	4	26	0	0	4	0	64	50	2347	0	0	0	262	27	805	3	174	3050	2914	0	26	54	27	74	0	93	71	14	41	0	0	5	161	95	12	0	0	1540	2	0	594	2914	327	736	1840	127	0	268	0	958	725	758	16	0	0	0	0	0	23	1389	30	0	1	68	0	31	0	0	0	0	0	1	0	91	0	4	3	0	0	10	85
sim_meta-126	231	1	9126	16	41	0	0	0	0	45	81	310	0	0	0	92	11	897	0	204	3058	2474	0	80	147	7	90	1	16	72	14	24	0	0	1	84	37	20	0	0	1421	1	0	578	2347	310	560	1376	4	2	150	0	682	897	489	13	0	0	0	0	0	30	1438	21	0	3	4	0	0	0	0	0	0	0	0	0	34	0	26	0	2	0	0	219
sim_meta-127	309	0	12301	1	62	0	0	0	0	28	36	446	2	0	0	136	63	803	0	170	2816	2777	0	24	35	0	180	0	106	168	25	0	0	2	0	174	122	13	0	0	1312	4	0	1301	3505	270	586	2241	3	1	362	0	605	247	363	0	1	0	0	0	0	0	1410	11	0	2	87	0	0	0	0	0	0	0	0	0	7	0	53	2	1	0	0	48
sim_meta-128	238	0	12342	1	25	0	0	5	0	31	36	1013	21	0	2	180	19	972	0	205	3313	2988	2	59	92	23	88	0	29	10	4	14	0	0	0	208	93	16	0	1	1425	5	0	966	3013	357	634	1772	12	27	210	0	798	455	583	6	4	5	0	0	0	40	1392	31	0	6	30	0	33	0	0	1	0	0	0	3	57	6	0	0	0	0	0	162
sim_meta-129	439	0	14592	47	117	0	0	5	0	49	106	1796	17	0	0	184	42	714	2	216	2427	2163	0	120	124	10	100	0	36	55	3	8	0	1	0	316	159	5	0	2	1467	9	0	1352	3730	292	394	2247	3	21	375	0	786	1637	847	4	0	2	0	0	0	0	1339	0	0	2	103	0	0	0	0	0	0	0	0	0	28	2	28	2	0	0	0	19
sim_meta-13	226	8	12922	0	49	1	0	0	0	22	34	1488	2	10	0	277	44	657	3	215	2399	1913	1	77	94	65	192	0	49	217	44	0	0	0	0	353	311	5	0	0	1418	11	0	1179	3712	354	657	2066	38	0	290	0	1284	1023	746	22	5	5	0	0	0	47	1438	51	0	2	21	0	15	0	0	0	0	0	0	0	24	2	0	3	0	0	0	214
sim_meta-130	224	5	9367	35	22	0	0	0	0	95	116	890	1	0	0	146	13	852	7	215	3531	3465	0	45	65	0	32	0	54	110	18	16	0	0	0	227	67	4	0	0	1536	2	0	610	2755	291	435	1772	39	0	204	0	811	600	498	22	4	3	0	0	0	35	1213	40	6	0	8	0	17	0	0	0	0	0	0	0	166	0	26	0	0	5	0	88
sim_meta-131	225	4	11166	0	51	0	0	0	0	22	26	728	1	0	0	245	38	648	0	206	3456	3178	0	10	11	0	63	0	0	0	0	0	0	0	0	180	11	6	0	0	1506	0	0	785	2563	335	662	1548	0	5	213	0	767	394	422	0	0	5	0	0	0	0	1470	13	0	0	53	0	0	0	0	0	0	0	0	0	78	2	0	0	4	0	0	162
sim_meta-132	169	10	11598	10	44	0	0	0	0	15	31	1358	1	0	0	182	63	730	0	204	3093	2749	0	41	35	0	60	0	25	172	33	23	0	0	0	200	173	7	0	0	1520	2	1	689	2471	408	449	1330	62	47	232	0	995	771	616	27	2	0	0	0	4	55	1343	71	0	2	89	0	0	0	0	0	0	0	0	2	201	2	41	0	1	0	0	151
sim_meta-133	276	14	16638	2	16	0	0	15	0	22	29	1399	0	0	0	229	53	829	0	199	2603	2064	0	64	79	84	168	0	129	433	85	0	0	1	18	194	418	15	0	0	1304	15	0	1765	4040	337	1242	1986	60	0	218	0	1387	1485	701	40	0	0	0	0	0	44	1498	72	0	1	95	0	13	0	0	0	0	1	0	0	3	0	52	3	0	0	28	170
sim_meta-134	122	0	7206	0	9	0	0	0	0	3	2	872	0	0	0	119	18	841	0	217	3944	2826	0	20	51	0	55	0	5	1	0	110	0	0	0	241	9	11	0	0	1224	0	0	234	1900	319	458	1489	0	0	115	0	730	287	559	0	0	1	0	0	0	0	1218	4	0	0	12	0	0	0	0	3	0	0	0	0	15	0	0	0	0	0	0	115
sim_meta-135	132	6	9573	0	3	1	0	0	0	58	96	793	0	0	0	247	29	865	0	215	3177	2684	4	64	82	22	126	0	25	74	19	16	0	0	0	243	151	9	0	0	1543	7	0	606	2525	394	752	1526	14	1	299	0	974	744	567	9	3	2	0	0	2	54	1521	49	0	0	101	0	22	0	0	0	0	0	0	0	88	3	15	0	0	0	0	128
sim_meta-136	201	4	14256	0	29	0	0	0	0	16	28	1599	1	0	0	253	77	957	0	213	2373	1919	0	67	86	36	80	0	91	272	43	32	0	0	10	172	272	6	0	0	1580	1	0	1196	2828	388	1022	1775	18	16	147	10	1939	1809	886	26	0	0	0	0	5	49	1552	60	0	0	1	0	64	0	0	0	0	0	0	0	2	0	41	0	3	0	13	211
sim_meta-137	274	4	12099	0	42	0	0	8	0	56	84	963	0	0	0	130	39	884	0	209	3075	3355	1	26	99	42	97	0	63	98	21	6	0	0	2	232	153	9	0	0	1535	8	0	1051	3273	288	927	2239	39	8	263	0	975	674	580	36	4	4	0	0	0	102	1656	107	0	2	81	0	21	0	0	2	0	0	0	0	1	5	22	0	1	0	16	103
sim_meta-138	209	4	9532	0	15	0	0	0	5	69	83	644	10	5	0	150	36	798	0	218	2365	2456	1	78	78	0	25	0	10	88	10	0	0	0	0	203	68	7	1	0	1437	1	0	525	2547	335	510	1684	10	12	209	0	840	258	508	13	3	1	0	0	0	28	1616	27	0	4	0	0	2	0	0	0	0	0	0	0	30	0	24	0	0	0	4	139
sim_meta-139	206	0	8741	0	20	1	0	0	0	11	27	184	4	0	0	252	33	920	1	220	2815	2335	0	51	124	0	138	0	5	1	0	33	0	0	0	289	78	19	0	0	1431	0	0	522	2773	320	1440	1589	7	17	171	0	736	248	347	0	0	0	0	0	0	0	1375	2	0	0	18	0	0	0	0	0	0	0	0	1	64	0	0	0	0	0	0	79
sim_meta-14	1243	0	19659	9	33	0	0	0	0	54	56	5422	1	0	0	235	33	839	0	187	2662	2396	1	8	6	0	18	0	246	245	34	48	0	0	0	132	195	3	0	0	1711	1	0	610	3322	281	468	1750	320	0	153	0	1754	2058	1661	0	7	5	0	0	0	39	1425	53	0	5	2	0	111	0	0	0	0	0	0	0	7	2	0	0	4	1	0	152
sim_meta-140	234	1	11999	42	31	0	0	0	0	24	37	896	0	0	0	182	27	855	0	194	2795	2737	0	16	32	0	89	2	70	130	20	14	0	2	0	183	107	15	0	0	1401	3	0	703	3153	309	1098	1662	0	3	206	0	677	417	453	8	0	1	0	0	0	15	1463	25	15	1	25	0	0	0	0	0	0	0	0	0	15	0	22	1	0	0	0	90
